yo,sw
Kílódé tí ó fi dàbí wípé Bíbélì faramọ́ ìṣe níní ẹrú láàrin àwọn ènìyàn?,"Ni kwa nini Bibilia kwa kweli, yaonekana kuunga mkono tendo la utumwa wa mwanadamu?"
"Nitori ore-ofe li a ti fi gba nyin la nipa igbagbo: ati eyini ki ise ti enyin ti karanyin; ebun oluwa ni: ki se nipa ise, ki enikeni ma ba sogo’ (Efesu 2:8-9).","“Kwa sababu, ukimkiri Yesu kwa kinywa chako ya kuwa ni Bwana, na kuamini moyoni mwako ya kuwa Mungu alimfufua katika wafu, utaokoka” (Warumi 10:9, TMP)."
"Ìbéèrè tí ó rọ̀rùn yìí, jẹ́ síbẹ̀ èyí tí ó ṣe kókó, jẹ́ ìbéèrè tí ó ṣe pàtàkì jùlọ tí a le bèèrè.","Hii ni rahisi, lakini ni swali la muimu ambalo linaweza kuulizwa."
"A dá gbogbo wa l'ẹ́ẹ̀bi l'ọ́nà mẹ́ta nítorí ẹ̀ṣẹ̀ àjogúnbá, ẹ̀ṣẹ̀ ìkàsíni l'ọ́rùn, ati ẹ̀ṣẹ̀ ara-ẹni.","Wote mara tatu tumehukumiwa kwa sababu ya ile dhambi ya urithi, ile dhambi ya kusingizia, na ile dhambi ya kibinafsi."
"Gbogbo àṣàyàn Kọrinti Kínní 6:1-6 sọ nípa ìjà nínú ìjọ, ṣùgbọ́n Pọ́ọ̀lù kò ṣe àyọkà ètò ilé-ẹjọ́, nígbàtí ó sọ nípa ìdájọ́ nípa nǹkan tí ó kan ayé yí.","Mukhtadha wote wa 1 Wakorintho 6:1-6 wahusika na tafauti katika Kanisa, lakini Paulo anarejelea mfumo wa koti wakati anaponena juu ya hukumu kuhusu mambo yanahusiana na maisha haya."
"Ní ọdún 1997, orílẹ̀-èdè Amẹ́ríkà rán Patifáńdà lọ sí òfurufú Másìì.",Katika mwaka wa 1997 Marekani ilituma mvumbuzi kwenda anga ya Mars.
"Jésù ni Ọlọ́run, Òun wá sí ayé, gẹ́gẹ́ bí ènìyàn tòótọ́ (1 Johannu 4:2).",Mungu alikuja akawa mwanadamu katika Yesu ili atuokoe.
Àbá Iṣẹ́ àkànṣe Tí ó mọ́pọlọ dání sọ wípé a nílò òkùnfà tí ó mọ́pọlọ dání láti lè ṣe àlàyé àkójọpọ̀ àgbékalẹ̀ ètò ti ẹ̀kọ́ nípa nǹkan alààyè (biology) tí ó kún fún ìmọ̀ àtí wípé a lè mọ òkùnfà yìí nipa àpẹ̀ẹrẹ.,"Nadharia ya mchoro wa kiakili wasema kwamba matendo ya akili ni yana haja kueleza yenyewe ni magumu, ujumbe ambao umejaa elimu ya viumbe (baolojia) na hizi vitukio vinaweza tambulika."
"Bí àwa bá máa dá ohùn ti Ọlọ́run mọ̀, a gbọ́dọ̀ jẹ́ ti Rẹ̀.","Kama tunataka kuitambua sauti yake, lazima tuje kwake."
Igbala wa naa si ni ti ni idaniloju titi ayeraye.,Kuokolewa kwetu ni kwa milele.
Jesu gbe ese war u ( 2 korinti 5;21).,Yesu alichukua dhambi zetu (wakorintho wa pili 5:21).
"Tàbí, ẹ̀yin kò mọ̀ pé ara yín ni tẹ́mpìlì Ẹ̀mí Mímọ́, tí ńbẹ nínú yín, tí ẹ̀yin ti gbà lọ́wọ́ Ọlọ́run?",Rudi kwa ukurasa wa nyumbani wa Kiswahili
"Kíló lè mú ènìyàn láti fẹ́ di Kristiẹni, nígbàtí àwọn Kristiẹni bá ní ọ̀pọ̀lọpọ̀ ìṣòro, tí wọn kò sì ní agbára láti yanjú wọn?",Ni kwa nini mtu athamani kuwa Mkristo ikiwa Wakristo wenyewe wako na shida nyingi na hawana uwezo wa kuzitatua hizo shida zinazowakabili?
"Nítorí tí ó ṣe èyí fún wa, àwa wá ní àǹfàní tí kìí ṣe láti rí ìdáríjì nìkan fún àwọn ẹ̀ṣẹ̀ wa, ṣùgbọ́n láti lo ayéráyé pẹ̀lú Rẹ̀.","Ili tufanye haya, ni lazima tuweke imani yetu kwa yale yote Kristo alifanya msalabani."
"Fun awon keferi, leyin iku, iya ayeraye ninu orun apadi (Luku 16:22-23).",Rudi kwa ukurasa wa nyumbani wa Kiswahili
"Lẹ́ẹ̀kansi, ó ṣe pàtàkì láti rántí wípé ìjo kọ́ ló pinnu àkójọpọ̀ ìwé Mímọ́.","Pia, kitu cha muimu kukumbuka kwamba si kanisa ilikua na uamuzi juu ya kanoni."
"Sugbon a sal i orbe nitori irekoja wa, a pa a li ara nitori aisedede wa; ina alafia wa wa lara re, ati nipa ina re li a fi mu wa lara da.",Lakini alijeruhiwa kwa ajili ya dhambi zetu; aliumizwa kwa uovu wetu na Kwa kupigwa kwake tumepona.
Idahun,Jibu
"Àwọn ańgẹ́lì ní ọgbọ́n (Matteu 8:29; 2 Kọrinti 11:3; 1 Peteru 1:12), wọn máa ńfi ìmọ̀lára hàn (Luku 2:13, Jakọbu 2:19; Ifihan 12:17,) wọ́n sì tún máa ńse ìfẹ́ inú wọn (Luku 8:28-31; 2 Timoteu 2:26; Juda 6).","Malaika wako na hekima (Mathayo 8:29; 2 Wakorintho 11:3; 1 Petero 1:12), inaonyesha hisia (Luka 2:13; Yakobo 2:19; Ufunuo 12:17), na kujaribu kufanya penzi lao (Luka 8:28-31; 2 Timotheo 2:26; Yuda 6)."
Ẹ̀sìn jẹ́ ẹ̀rí tòòtọ́ fún wípé irú ìràn ènìyàn kìí kàn ṣe ẹranko gígá tí ó jẹyọ.,Dini ni ushahidi kuwa mwanadamu kiumbe maalumu ambacho hakikujibuka kutoka kwa wanyama.
Bíbélì náà kò bu ẹnu àtẹ́ lu ìṣe níní ẹrú ní pàtó.,Bibilia moja kwa moja haipingi tendo la utumwa.
Ẹklisiọ́lọ́jì ni ẹ̀kọ́ nípa ìjọ.,"Kwa kuongezea juu ya utaratibu wa teolojia, kuna njia nyingine ambazo teolojia inaweza kugaganywa."
"Ibi tí ó dára láti bẹ̀rẹ̀ ni 1 Tẹssalonika 5:12-24, tí ó sọ ọ̀pọ̀lọpọ̀ nǹkan tí ó jẹ́ ìfẹ́ Ọlọ́run fún wa.","Yakobo 1:5 yasema, “Lakini mtu wa kwenu akipungukiwa na hekima, na aombe dua kwa Mungu, awapaye wote, kwa ukarimu, wala hakemei; naye atapewa.” Mahali pazuri pa kuanzia ni 1 Wathesalonike 5:12-24, ambayo yaratibisha mambo mengi ambayo ni mapenzi ya Mungu kwetu."
"Àwọn àgùtàn (onígbàgbọ́) wọ inú ìyè ayérayé, nígbàtí a sọ àwọn ewúrẹ́ (aláìgbàgbọ́) sínú ""ìjìyà ayérayé"" (Matteu 25:46).","Kondoo (Wakristo) wanaingia katika uzima wa milele, bali mbuzi (wasio Wakristo) watatupwa katika “hukumu” ya milele (Mathayo 25:46)."
"Ìbéèrè náà ni, ọ̀nà wo ni wọ́n ṣe jẹ́ ""ẹlẹ́rí""?","Ni watu hawa ambao wako katika “wingu la mashahidi.” Wao ni “mashahidi” sio kwamba wanatuchungulia, bali kwa hayo wamekwisha tuwekea mfano."
Ìyẹn ni àgbékalẹ̀ Bíbélì fún ìgbàlà.,Huo ndio mtindo wa kibiblia wa wokovu.
"Bí àwa ṣe ńni ìrírí ìdàgbà ẹ̀mí, díẹ̀ àti díẹ̀ ""àwọn iṣẹ́ ti ara"" ni yóò farahàn nńú ayé wa.","Tunapoanza kuhisi ukuaji wa kiroho, chache ya “matendo ya mwili” yatakuwa wazi katika maisha yetu."
"Àwọn òbí kan ríi wípé Ìbáwí nípa nínà kò ran àwọn ọmọ kan. Àwọn òbí kan ríi wípé ""fífún ni ní ìsínmi"", jíjókò sójúkan, àti/tàbí mímú nǹkan kúrò lọ́dọ̀ àwọn ọmọ múnádóko ju ìbáwí nípa nínà lọ nínú ríran ìyípadà ìwà lọ́wọ́.","Wazazi wengine wanapata kuwa “kuwanyima wakati,” au kumanyanganya mtoto kitu itafanya kazi vizuri kwa kumtia mtoto moyo ili abadilishe tabia yake."
Olorun ti Omo yato si Olorun Baba (Orin Dafidi 45: 6-7; Heberu 1:8-9).,4) kila nafsi katika utatu huu ni Mungu: Baba ni Mungu: Yohana 6:27; warumi 1:7; petro wa kwanza 1:2.
Bíbélì máa ńpe àwọn ọmọ ní ohun dídára nígbà gbogbo.,Kutokuwa na uwezo wa kupata watoto umewazilizwa katika Bibilia kuwa jambo baya.
Idahun,Jibu
Ọlọ́run mọ̀ síwájú àkókò ohun tí àyọrísí ẹ̀ṣẹ̀ yóò jẹ́.,Mungu alijua mbele ya wakati matekeo ya dhambi yatakuwa.
"“Johannu 1;12 wi fun wa wipe,” “sugbon iye awon ti o gba a, awon li o fi agbara fun lati di omo olorun, ani awon na ti o gba oruko re gbo.","Yohana 1:12 inatuelezea hivi, “Bali wote waliompokea aliwapa uwezo wa kufanyika watoto wa Mungu“ (TMP)."
English,English
Orisirisi “isodi” lo wa lori oro yi nipa obirin irase / oluso-aguntan.,"Mungu, kupitia nyaraka za Mtume Paulo akataza wanawake kuhudumu katika nyadhifa zenye kuwapa mamlaka ya kiroho juu ya wanaume."
"Ti iwo ba ro be, orisirisi ni iwo yi o ma ro, bi aini ireti ati ibanuje.","Ikiwa ni wewe saa hii, moyo wako unaweza kukuambia mambo mengi na kukujaza hisia kama kukata tamaa maishani."
"Lẹ́yìn ìkún omi, tí àwọn èdè míìrán wà, àwọn ẹgbẹ́ tí ó ńsọ èdè kańáà, kó lọ pẹ̀lú àwọn míìrán tí ó ńsọ irú èdè náà.","Baada ya gharika wakati lugha tofauti zilianza kuwepo, kikundi ambacho kilizungumza lugha moja kilijitenga mbali na wengine waliozungumza lugha moja."
(1 Kọrinti 15:51-52).,"“Angalieni, nawaambia ninyi siri; hatutalala sote, lakini sote tutabadilika, dakika moja, kufumba na kufumbua, wakati wa parapanda ya mwisho; maana parapanda italia, na wafu watafufuliwa, wasiwe na uharibifu, nasi tutabadilika” (1 Wakorintho 15:51-52)."
Se ki se gbogbo esin lo je ba kan naa?,Kwani si kuna msemo usemao njia zote zinaelekea Mbinguni?
Ísrẹli àti gbogbo ayé yóò ṣọ̀fọ̀ bí wọn kò ṣe gba Mesiah nígbà àkọ́kọ́ tí Òun wá.,"Israeli na dunia yote, wataomboleza kwa kutomkubali Masia wakati alikuja mara ya kwanza."
Ẹsẹ̀ yí sọ wípé ẹnití ó bá gbàgbọ́ jẹ́ ara Kristi tí òun sí ti gba Ẹ̀mí ti Kristi bíi ẹ̀rí.,Aya hii inasema yeyote atakaye amini in sehemu ya mwili wa Kristo na ameupokea Roho wa Kristo ni ushaidi.
English,English
English,English
Òun yóò ró wa l'ágbára pẹ̀lú ẹ̀bùn èyíkéyìí tí a nílò láti ṣe àṣeyọrí nínú iṣẹ́ tí Òun pè wá sí.,Atatuami kwa kila kipawa au vipawa tunavyovihitaji kukamilisha jukumu ambalo ametuitia.
"Bíbélì kọ́ wa wípé ìbáwí nípa nínà tọ́, ó wúlò, ó sì ṣe pàtàkì.","Bibilia inafunza kuwa adhabu ya fimbo ndiyo ya kadri, ya muimu na inastahili.”"
"Fún Kristiẹni kan, ìbádọ́rẹ̀ẹ́ ẹni tí kìí ṣe Kristiẹni jẹ́ aláìgbọ́n, àti fí fẹ́ irú ẹni bẹ́ẹ̀ kìí ṣe èyí tí a lè yàn.","Kwa Mkristo, kuchumbia mtu ambay si Mkristo sio jambo la busara, na kuoa mmoja sio njia mbadala."
"Ìdáhùn sí ìbéèrè yẹn ni a lè rí ní Ìṣe àwọn Apọsteli 5:27-29 ""Nigbati nwọn si mu wọn de, nwọn mu wọn duro niwaju ajọ igbimọ; olori alufa si bi wọn léèrè, Wipe, Awa kò ti kìlọ fun nyin gidigidi pe, ki ẹ maṣe fi orukọ yi kọ́ni mọ́?","Swali lingine ni “Kunao wakati tunastahili kukaidi sheria ya nchi kimakusudi?” Jibu kwa swali hilo linaweza patikana katika Matendo Ya Mitume 5:27-29, “Walipowaleta, wakawaweka katika baraza, kuhani Mkuu akawauliza, akisema, Je!"
"“Nitori ore-ofe li a ti fi gba nyin la nipa igbagbo; ati eyini ki ise tie yin tikaranyin; ebun olorun ni- ki ise nipa ise, ki enikeni ma ba sogo” (Efesu 2;8-9).","Hii ni zawadi kutoka kwa Mungu, si kwa matendo, ili mtu awaye yote asije akajisifu.” (Waefeso 2:8-9, KCV)."
Idahun,Jibu
"A gbọ́dọ̀ wá sí ọ̀dọ Ọlọ́rún pẹ̀lú ìrẹ̀lẹ̀ (Jakọbu 4:10), òtítọ́ (Orin Dafidi 145:18), ìgbọràn (Johannu 3:21-22) pẹ̀lú ìdúpẹ́ (Filippi 4:6) àti ìdánilójú (Heberu 4:16).","Tunastahili kuja kwa Mungu kwa unyenyekevu (Yakobo 4:10), ukweli (Zaburi 145:18), kutii (1 Yohana 3: 21-22), na shukrani (Wafilipi 4:6), na ujaziri (Waebrania 4:6)."
"Ni 1 Korinti ori 12-14, nibi ti Paulu soro lori ebu orisirisi, o wipe, “ Nisiyi, eyin ara mi, tie mi ba si odo yi pelu ede aimo, ere kili emi o je fun nyin, bikosepe mo ba mba nyin soro, yala nipa isipaya, tabi nipa imo, tabi nipa isotele, tabieko?” (1 Korinti 14:6).","Katika wakorintho wa kwanza mlango wa 12-14, mahali Paulo anapozungumzia vipawa vya miujiza anasema kuwa, “ sasa ndugu zangu, nikija kwenu nikiongea kwa lugha ngeni itawafaidisha ninyi vipi, Isipokuwa nikiwaletea neno la ufunuo aumaarifa au unabii au neno la mafundisho?” (wakorintho wa kwanza14:6)."
Ìwò kristiẹni nípa ayé nígbà náà túmọ̀ sí ìmọ̀ lẹ́kúnrẹ́rẹ́ nípa ayé láti abala kristiẹni kan ní pàtó.,"“Mtazamo wa kikristo,” kwa hivyo wamaanisha jinsi mtu anaiona dunua kiukristo."
Ní àringbùngbùn ìbéèrè yìí ni àílòye ohun tí Àwọn Májẹ̀mú Láíláí àti Titun fihàn nípa àbùdá Ọlọ́run.,Ukweli wa ndani kabisa wa swala hili kuna kutoelewa ni nini Agano la kale na Agano Jipya za funua/fichua kuhusu hali ya mungu.
"Jésù pe ara Rẹ̀ ní ""ọ̀nà, òtitọ́ àti ìyè"" (Johannu 14:6), nípa ṣíṣe bẹ́ẹ̀, ó di ìwò wa nípa ayé.","Yesu alijitangaza Yeye mwenyewe kuwa “ndimi njia na ukweli, na uzima” (Yohana 14:6) na kwa kufanya hivyo ukawa mtazamo wetu."
"Nínú Bíbélì ìgbeyàwó jẹ́ ""ìyanjú"" ti Ọlọ́run fún òtítọ́ wípé ""kò dára kí okùnrin náà kí o níkàn ma gbé"" (Jẹnẹsisi 2:18).",Ndoa “iliwekwa” na Mungu kwa sababu kuwa “si vema huyo mtu awe peke yake” (Mwanzo 2:18).
Metalokan niran fun omo enia lati le ni oye patapata nipa re.,Hakuna mwanadamu anayeweza kulielewa kwa undani zaidi.
"Nítorínàá, bí àwọn olólùfẹ́ wa kò bá lè kànsí wa, báwo ni àwọn alábọ̀dè, ẹlẹ́mìkẹ́ẹ̀mí, àti aríran ṣé ńrí ìran tí ó tọ́?","Kwa hivyo, ikiwa wapendwa wetu hawawezi kutufikia, ni namna gani wazungumzao na wafu, maroho na akili zapata habari kamili kama hiyo?"
Emi si yato “OLORUN” (Numeri 27:18) ati ti “Olorun” (Orin Dafidi 51:10-12).,Roho anatofautishwa na “BWANA” (hesabu 27:18) na pia kutoka “Mungu” (zaburi 51:10-12).
"Nje gbogbo enia lo si ibi ka na, tabi a ma lo si ibi otito?","Je, watu wote huenda mahali pamoja, au huenda mahali tofauti?"
Gbígbàdúrà gẹ́gẹ́ bíi ìfẹ́ Ọlọ́run jẹ́ gbígbàdúrà fún àwọn nǹkan tí ó bu ọlá àti ògo fún Ọlọ́run àti/tàbi gbígbàdúrà fún ohun tí Bíbélì fihàn kedere wípé ìfẹ́ Ọlọ́run jẹ́.,Kuomba kulingana na mapenzi ya Mungu ni kuomba vitu ambavyo vinamheshimu na kumtukuza Mungu au kuomba chochote kile Bibilia inafunua  kuwa ndio mapenzi ya Mungu.
English,Rudi kwa ukurasa wa nyumbani wa Kiswahili
"Sugbon, gbolohun Greki naa “agbere ninu igbeyawo” le je oro miran.","Neno la kigiriki lilitafsiriwa kumaanisha uasherati ni neno linaloweza kumaanisha kila aina ya uchafu wa kimapenzi kama zinaa, uasherati, ukahaba na kadhalika."
"Sólómọ́nì sọ wípé ìgbé-ayé wà nípa fífi ọ̀wọ̀ fún Ọlọ́run nínú èrò àti ìgbé-ayé wa, kí á sì pa àwọn òfin Rẹ̀ mọ́, nítorí ní ọjọ́ kan, àwa yóò dúró níwájú Rẹ̀ ní ìdájọ́.","Suleimani anasema maisha yote ni kumheshimu Mungu na mawazo yetu na maisha na kuzitunza amri zake, kwa maana siku moja tutasimama mbele yake kwa hukumu."
"Lati yan fun awon ti nsofo fun Sioni, lati fi oso fun won nipo eru, ororo ayo nipo ofo, aso iyin nipo emi ibanuje, ki ale pe won ni igi ododo, ogbin Oluwa, ki a le yin i logo” (Isaiah 61:1-3).","Nabii Isaya aliandika: “Roho wa bwana yu juu yangu,kwakuwa bwana amenipaka mafuta niwahubiri habari njema watesekao; amenituma kuwarejeza waliovunjika moyo, kutangaza kuachiliwa kwao waliotekwa na kufunguliwa kwao waliofungwa….. kuwafariji wote waombolezao; kuwapatia wale waombolezao…taji la urembo badala ya jivu; mafuta ya furaha badala ya kuomboleza; taji la shangwe badala ya roho iliyozimia."
"Bí wọn kò bá tíì ja ogun abẹ́lé Amẹ́ríkà, báwo ni ọmọ Amẹ́ríkà láti Áfríkà yóò ti pẹ́tó nínú ìjìyà?","Kama vita vya kimarekani vya raia havikupiganwa, ni muda mgani Wamarekani-Waafrika wangetezeka katika utumwa?"
English,English
"Síwájú síi, ọ̀pọ̀lọpọ̀ àwọn onímọ̀ (Kristiéni àti Àwọn tí kìí ṣe kristiẹni) yóò gbà wípé Àwọn lẹ́tà Pọọlu (ó kéré jù lára wọn) ni a kọ nípasẹ̀ Pọọlu ní bíi ìlàjì ọgọ́rùún ọdún A. D., èyí tí o jẹ́ bíi ogójì ọdún lẹ́yìn ikú Jésù.","Zaidi ya hayo wengi wa wachanganusi wa Bibilia wa mbeleni (wakristo na wasio wakristo) unaipa barua za Paulo (baadhi yao si zote) kwa kweli ziliandikwa katikati mwaka wa karne ya kwanza baada ya Yesu kuzaliwa (A.D)., chini ya miaka 40 baada ya kifo cha Yesu."
"Gẹ́gẹ́ bí ara èrùpẹ̀ wa ti rí bíi tí ọkùnrin ìṣáájú, Adamu, bẹ́ẹ̀ni ara àjíǹde wa yóò ti rí bíi ti Kristi (1 Kọrinti 15:47).","Kama vile mwili wetu wa dunia ulikuwa wa yule Adamu wa kwanza, vivyo ndivyo ufufuo wa miili yetu utakuwa kama wa kristo (1 Wakorintho 15:47)."
Ṣé ìwọ ńwo àwòrán ènìyàn ní ìhòhò tí ìwọ sì fẹ́ òmìnira kúrò nínú rẹ̀?,Wewe ni mhusika wa ponografia na wahitaji kuwekwa huru?
"Àwọn tí ó ńṣe ẹlẹ́yàmẹ̀yà, ìkórira àti yíyanisọ́tọ̀ nílò láti ronúpìwàdà.","Wale wanaofanya kubagua, kuchochea, au kutenga wengine wastahili kutubu."
"Ààwẹ̀ gbígbá ni a kò gbọdọ̀ rí bíi ""ọ̀nà dídín oúnjẹ jíjẹ kù"" Ète ààwẹ̀ gbígbá tí ó bá bíbélì mu kìí ṣe láti dín ìwọ̀n kù, ṣùgbọ́n láti ní ìdàpọ̀ tí ó jinlẹ̀ pẹ̀lú Ọlọ́run.","Kufunga kusichukuliwe kuwa “ratiba ya chakula.” Lengo la kibibilia la kufunga sio kupunguza uzito, bali kupata ushirika wa ndani na Mungu."
"Nínú Májẹ̀mú Titun, ó ya Jésù lẹ́nu nígbàtí Balógun ọrún (òṣìṣẹ́ tí ó wà fún àkóso ọgọ́rún ọmọ ogun) tọ̀ Ọ́ wá.","Katika Agano Jipya, Yesu alishangashwa na afisa wa Rumi (afisa aliyesimamia askali mia moja) alimwendea."
Ìgbàgbọ́ nínú Jésù ni ọ̀nà kan soso sí lílọ sí ọ̀run.,Die Bybel is baie duidelik hieroor dat daar een en net een weg alleen is na die hemel—deur Jesus Christus.
"Beeni, o rorun!","Ndio, msamaha wapatikana kiurahisi namna hiyo!"
"Sugbon Jesu so fun, “Nitoripe iwo ti ri mi, iwo gbagbo, ibukun ni fun awon ti ko ri mi ti won si gbagbo”(Johannu 20;29).","“Tena Yesu kamwambia, ‘kwa kuwa umeniona, umeamini; heri wale ambao hawakuniona na wameamini” (Yohana 20:29)."
Àwọn ẹsẹ̀ wọ̀nyìí wá láti inú ẹsẹ̀ tí ó sọ̀rọ̀ nípa àwọn ìlànà láti tẹ̀lé nínú ọ̀ràn ìbáwí nínú ìjọ fún ọmọ ìjọ tí ó ńdẹ́ṣẹ̀.,"Kwa kuwa walipo wawili watatu wamekusanyika kwa jina langu, nami nipo papo hapo kakati yao.” Aya hizi zinatoka katika ufahamu mkubwa ambao wazungumzia mpangilio utakaofuatwa katika kesi ya kumwadhibu mshirika wa kanisa."
"Nítorí wípé a ti jogún àbùdá ẹ̀ṣẹ̀ lọ́dọ̀ Adamu, à ńd'ẹ́ṣẹ̀ ọlọ́kan-ò-jọ̀kan, ẹ̀ṣẹ̀ ara-ẹni, ohun gbogbo láti àìsòdodo kékéèké sí ìpànìyàn.","Kwa sababu tumerithi hali ya dhambi kutoka kwa Adamu, tunatenda dhambi ya kibinafsi, kwa kila kitu tukionekana kutojua ambazo ni uongo kwa uuaji."
"Ṣùgbọ́n dájúdájú yóò jẹ́ ìṣòro nígbàtí a bá ńgbìyànjú láti dáhùn ìbéèrè bíi ""Níwọ̀n ìgbà tí gbogbo ìṣẹ̀dá bá ńjìyà, kínni èrèdí tí Ọlọ́run ní tí ó fi dá àwọn ìṣẹ̀dá tí kò dára àti tí kò jípépé láti jìyà ní pílánẹ́tìì tí ó jìnà?""","Lakini kwa kweli itathibitisha tatizo wakati tunajaribu kujibu maswali kama “kwa vile viumbe wote watezeka, Mungu alikuwa na lengo gani kwa kuwaumba viumbe wasio na madili na viumbe wasio na uai kutezeka katika sayari za mbali?”"
"Ìgbé-ayé, ikú àti àjíǹde Jésù ti san gbèsè ẹ̀ṣẹ̀ wa fún Ọlọ́run.","Maisha, kifo na kufufuka kwa Yesu kumetulipia deni ya dhambi zetu kwa Mungu."
"Ise awon aposteli 20;28 so wipe, Oluwa ra ijo re pada pelu eje re.",Matendo 20:28 inasema ya kwamba Mungu alilinunua kanisa kwa damu yake mwenyewe.
"Bibeli wipe: “Nkan wonyi ni mo ko iwe re sin yin ani si enyin ti o gba Oruko omo Olorun gbo, ki enyin ki o le mo pee yin ni iye ainipekun” (1 Johannu 5; 13).","Bibilia yasema: “Nimewaandikia ninyi mambo hayo, ili mjue yakuwa mna uzima wa milele, ninyi mnaoliamini jina la mwana wa Mungu” (1 Yohana 5:13, TMP)."
"Ọlọ́run dásíi ó sì da èdè wọn rú, èyí sì fọ́ ètò ẹ̀sìn wọn.","Mungu akaingilia kati na kuwachanganyisha kwa lugha, na kuharibu hii dini iliyokuwa na mpangilio."
Ṣé àwọn álgàe tàbí àwọn ajá àti ológbò lè wà ní pílánẹ́tìì tí a kò mọ̀?,Mwani au mbwa na paka watakuwepo katika sayari hazijulikani?
"Eyi je ohun ti awon eniyan ma n so, otito be ni wipe, oniro ni gbogbo won.","Hatakama hiyo kauli yawezaleta makwazo katika kizazi hichi cha kisasa kila waisikiapo, lakini kweli yake haibadiliki."
Idahun,Jibu
Idahun,Jibu
Idahun,Jibu
Ǹjẹ́ wọn ni òye àwòrán wípé kíkú Kristi lórí àgbélébú wà fún àwọn ẹ̀ṣẹ̀ wọn?,Je waliielewa picha kamili ya Yesu kufa msalabani kwa ajili ya dhambi zao?
Idahun,Jibu
"Nígbà míìrán ìdarí ti Ọlọ́run lè wá nípasẹ Ẹ̀mí Mímọ́, nípasẹ àwọn ẹ̀rí ọkàn wa, nípasẹ àwọn ìṣẹ̀lẹ̀, àti nípasẹ àwọn ìgbani níyànjú àwọn ẹlòmíràn.","Mungu anaweza nena kwa sauti na watu, hasa hunena kupitia kwa neno lake na wakati mwingine kupitia kwa Roho Mtakatifu kwa akili yetu, kupitia kwa hali, na kupitia watu wengine."
Èwo ni ó ṣe pàtàkì jùlọ—ogun ti òfin tàbí ogun fún ọkàn ènìyàn ní ayéráyé?,Ni lipi la muimu sana- vita vya sheria au vya kupigania nafsi ya mtu kwa uzima wa milele?
"Nígbà tí ọkọ bá fẹ́ràn ìyàwó rẹ̀ gẹ́gẹ́ bí Kristi ti fẹ́ràn ìjọ (Efesu 5: 25 -33), nígbànáà ìtẹríba yóò jẹ́ ìdáhùn àìfagbáraṣe láti ọ̀dọ ìyàwó sí ọk rẹ̀.","Wakati mwanamke amependwa vile Kristo alivyolipenda Kanisa, utiifu sio jambo ngumu."
