Idariji ko see fi eto gba tabi ti owo ra lati odo Olorun.,"Yesu alifufuka katika wafu, akishuhudia ushindi Wake juu ya dhambi na mauti (1 Wakorintho 15:1-28)."
"A gbọ́dọ̀ mọ̀ọ́ mọ̀ tiraka láti má jẹ́ kí ohun gbogbo máa yípo lára àwa nìkan, ṣùgbọ́n ká jẹ́ kí ìgbìyànjú wa jẹ́ fún ará ìta.","Lazima tufanye juhudi la kimawazo tuzizame ndani yetu, lakini tubadilishe mawazo yetu nche ndani."
"Nínú Matteu 5:21-28, Jésù ṣe ìdọ́gba ṣíse àgbèrè pẹ̀lú ìgbèrò ìfẹ́kùfẹ́ nínú ọkàn rẹ àti ìpànìyàn pẹ̀lú ìgbèrò ìkà l'ọ́kàn rẹ.","Katika Mathayo 5:21-28 Yesu anasawazisha kutenda uzinzi na kuwa na tamaa katika moyo wako,  kuua na kuwa na chuki kwa moyo wako."
"Gbogbo ẹ̀dá tó ń rìn lórí ilẹ̀ sì parun — ti ẹyẹ, ti ẹran—ọ̀sìn, ti ẹranko, ti ohun gbogbo tí ńrákò lórí ilẹ̀ àti gbogbo ènìyàn: Gbogbo ohun tí ẹ̀mí ìyè wà ní ihò imú rẹ̀.","Wakafa wote wenye mwili waendao juu ya nchi, na ndege, na wanyama wa kufugwa, kila mnyama wa mwitu, na kila kitambaacho chenye kutambaa juu ya nchi, na kila mwanadamu; kila kitu chenye pumzi ya roho ya uhai puani mwake kikafa, kila kilichokuwako katika nchi kavu."
"Won ki yio fun ni aye lati yi pada ku ro ninu ese wa leyin igba ti a ba ti ku nitoripe ti a ba ti ri oju Oluwa, awa ko le yan ohun kohun sugbon ki a gbagbo ninu re.","Tunapokubali kwamba kifo cha Yesu msalabani ni malipo kamili ya dhambi zetu dhidi ya Mungu, tumeahidiwa si tu maisha mema duniani bali pia uzima wa milele mbele ya kristo."
"Pe mi nigba iponju, emi yio si gba o la, iwo yi o gbe mi ga (Orin Dafidi 50:15).",Mruhusu akuongoze kuvuka hali hiyo ya kukata tamaa na akufikishe katika uhalisi wa nuru yake.
Se ile aye yi je gege bi ilekun ti a n gba jade ati ti a n gba wole ninu ile aye lati le ni ogo n la?,"Bibilia inatuambia yakwamba sio maisha pekee tu baada ya kifo, bali kuna uzima wa milele wenye utukufu mwingi “Hakuna jicho limeshaona, wala sikio kuyasikia,wala hayakuingia katika moyo wa mwanadamu,mambo ambayo Mungu aliwaandalia wampendao’’ (1Wakorintho 2:9) Yesu Kristo, Mungu katika mwili, alikuja duniani kutupa karama ya uzima wa milele."
"Ti a ba wo, nipa wipe Emi Mimo wa ni ibi gbogbo fi han ni Orin Dafidi 139: 7-8 “Nibo ni o gbe lo kuro lowo emi re?","Roho mtakatifu yuko kila mahali katika Zaburi 139:7-8, “nitaenda wapi nijifiche na Roho?"
Àṣẹ Ọlọ́run ni wípé gbogbo ìran to ńbọ̀ ni yóò máa ṣe àjọyọ̀ àṣè náà.,Amri ya Mungu ilikuwa kwamba kwa vizazi vyote vijao hii dhabihu ya pasaka itasherehekewa.
"Ní ọ̀pọ̀lọpọ̀ ibi ní ayé, ó jọ wípé Ọlọ́run ńlo àwọn ìran àti àwọn àlá lọ́pọ̀lọpọ̀.","Katika sehemu nyingi za dunia, Mungu anaonekana akitumia maono na ndoto sana."
"Nísinsìyí, bí a ṣe ní àǹfàní, a le ran àwọn míìrán lọ́wọ́ nínú àìní wọn, ní pàtàkì àwọn onígbàgbọ́ bí tiwa, pẹ̀lú owó yíyá tí kò dákún ìṣòro wọn.","Sasa, vile tunapokuwa  na nafasi tuwazaidie wengine, hasa wale ambao ni Wakristo, kwa mikopo ambazo haziwezi ongeza shida zao."
Ó yẹ kí á máa ṣe àwọn ohun tí Jésù Kristi yóò ṣe bi Òun ba wa nínú ara l'ayé.,Yatupasa tufanye mambo yale Kristo mwenyewe angeyafanya angekuwa nasi hii leo.
"Bíbélì ní ọ̀rọ̀ ẹ̀bi líle fún àwọn ayánilówó tí wọ́n ṣe àṣìlò àwọn tí ó jẹ wọ́n ní gbèsè, ṣùgbọ́n kò dá àwọn ajigbèsè lẹ́bi.","Bibilia iko na maneno makali ya hukumu kwa wakopeshaji ambao wanawatusi wale wameshindwa kuwalipa, lakini haiwahukumu wenye deni."
"Láìsí ìbáṣepọ̀ yẹn, ayé kò ní ìtumọ̀ tí ó ṣe kókó.","Bila huo uhusiano, maisha kweli hayana lengo."
Ìwàláàyè Ọlọ́run ni a kò lè fihàn tàbì àìfihàn nípa ṣí ṣe ìwádì àti àṣìṣe.,God se bestaan kan nie deur ondervinding bewys of ontken word nie.
Lára àwọn ipa wọ̀nyìí ni àìṣòdodo àti ìjìyà ti kò jọ wípé ó mu ọgbọ́n dání.,"Koo lao ni kaburi wazi, Kwa ndimi zao wametumia hila."
Pada si oju ewe Yorùbá,Rudi kwa ukurasa wa nyumbani wa Kiswahili
A kò lè gba ìwà tàbi èrè tàbi àfojúsùn kankan láàyè láti ní àṣẹ àìtọ́ lórí ayé wa; Kristi nìkan ló ní àṣẹ yẹn.,Hamna mazoea au makusudio yanaweza ruhusiwa kuwa na mwongozo usiyostahili katika maisha yetu; ni Kristo pekee ako na hayo mamlaka.
"Bíbélì kò fi ìyàtọ̀ sí ìgbé-ayé ""ẹ̀lẹ́sìn"" àti ìgbé-ayé ""lásán""; ìgbé-ayé Kristiẹni nìkan ni ìgbé-ayé tí ó wà.",Bibilia kamwe haitofautishi kati ya “dini” na maisha ya kawaida; maisha ya Kikristo ndio pekee yako.
"Bibeli wipe ni akoko ti enia ba ti gba Kristi gbo, yio si ni igbala ayeraye (Johannu 3:16).",Biblia inatufundisha ya kuwa kuanzia wakati mtu anapomwamini kristo ana usalama wa milele (Yohana 3:16).
"Ní ẹsẹ̀ kẹẹ̀dọọ́gbọ̀n (25) àti kẹrindinlọ́gbọ̀n (26), a sọ fún Daniẹli wípé wọn ó ké Mesiah kúrò lẹ́yìn ""méje lọ́ná méje àti méjìlélọ́gọ́ta lọ́ná méje"" (ọ̀kàndínláàádọ̀rin (69) láapapọ̀), láti ìbẹ̀rẹ̀ àṣẹ láti tún Jerúsálẹ̀mù kọ́.","Katika aya ya 25 na 26, Danieli anaambiwa kuwa Masia atapunguza baada ya “saba saba na sitini na mbili saba” (69 kwa jumla), kwa kwanzia na agizo  la kujenga Yerusalemu."
Bíbélì hàn kedere lórí bí ẹnìkan ṣe le yàgò fún lílọ sí ọ̀run-àpáàdì lẹ́yìn ikú.,Die Bybel is baie duidelik daaroor hoe ‘n mens die hel na jou dood kan vermy.
"Ni orun apadi, ekun ati ipa eyin keke lati fihan wipe ofo ati ibinu wa ni be (Matteu 13;42).","Huko kutakuwa na kulia na kusaga meno, ikiashiria machungu makali na hasira (mathayo 13:42)."
"Ihase Kristi Jesu ti o ku, ki a sa kuku wipe ti a ti ji dide kuro ninu oku, eniti o si wa li owo otun Olorun, ti o si mbebe fun wa?","Kristo Yesu, aliyetufia,akafufuka kutoka kwa wafu na sasa yuko mkono wa kuuma wa Mungu anatuombea.” Ni nani atakaye washtaki wateule wa Mungu?"
"Nitori naa, kristiani je enia to o je atubi ninu Oluwa (Johannu 3:3; Johannu 3;7, 1 Peteru 1; 23) ti won si fi igbagbo ati ireti won si inu Jesu Kristi.","Tito 3:5 inatuambia ya kwamba “si kwa matendo ya haki tuliyoyatenda, ila kwa huruma zake alituokoa kwa kutuosha na kutufanya upya kwa roho Mtakatifu.” Kwa hivyo mkristo nimtu aliyezaliwa mara ya pili na Mungu (Yohana 3:3; Yohana 3:7; Petero wa kwanza 1:23) na aliyeweka imani na tumaini lake lote ndani ya yesu kristo."
"Ṣùgbọ́n nígbà tí ènìyàn ṣubú sínú ẹ̀ṣẹ̀, ìbáṣepọ̀ pẹ̀lú Ọlọ́run bàjẹ́, ìbádọ́rẹ́ pẹ̀lú àwọn ẹlòmíràn fà sẹ́yìn, iṣẹ́ dàbi ẹni wípé ó ńsú enìyàn nígbà gbogbo, enìyàn sì ńtiraka láti pa ohunkóhun tí ó jọ ìṣàkóso mọ́ lórí ìṣẹ̀dá.","Lakini kwa kuanguka kwa mwanadamu katika dhambi, ushirika na Mungu umevunjwa, uhusiano na wengine umearibika, kazi kila mara inaoneka kuwa ya shida, na mwanadamu anataabika kutunza mamlaka juu ya anga."
"Efesu 2;8,9 wipe “Nitori ore-ofe li a ti fi gba iyin la nipa igbagbo ati eyi ni ki ise ti enyin tikaranyin; Ebun Olorun ni ki ise nipa ise, ki enikeni ma ba sogo.","Hii ni zawadi kutoka kwa Mungu, si kwa matendo, ili mtu awaye yote asije akajisifu” (KCV)."
"Ṣùgbọ́n nítorítí Olúwa fẹ́ yin, àti nítorití Òun fẹ́ pa ara ti Òun ti bú fún àwọn bàbá yin mọ́, ni OLÚWA ṣe fi ọwọ́ agbára mú yin jáde, o si rà yin padà kúrò li oko-ẹrú, kúrò lí ọwọ́ Farao ọba Íjíbítì.","Basi jueni ya kuwa BWANA, Mungu wenu, ndiye Mungu; Mungu mwaminifu, ashikaye agano lake na rehema zake kwao wampendao, na kusika amri zake, hata vizazi elfu.”"
"Ṣùgbọ́n, ó sọ wípé àwọn tí Olúwa bá bùkún láti di ìyá gbọ́dọ̀ ṣe ojúṣe wọn gidigidi.","Ingawa, huwa yasema kwamba wale ambao Mungu amewabariki kuwa wamama lazima wajukue majukumu yao bila mchezo."
"Ní lílo kàlẹ̀ńdà àwọn Júù, o ní alẹ́ Ọjọ́ bọ̀ (alẹ́ àkọ́kọ́), ọ̀sán Ọjọ́ bọ̀ (ọjọ́ àkọ́kọ́), alẹ́ Ọjọ́ Ẹtì (alẹ́ kejì), ọ̀sán Ọjọ́ Ẹtì (ọjọ́ kejì), Ọjọ́ Àbámẹ́ta (alẹ́ kẹ̀ta),Ọjọ́ Àbámẹ́ta (ọjọ́ kẹ̀ta).","Kwa kutumia kalenda ya Kiyahudi tuko na usiku wa Alhamisi (usiku wa kwanza), Alhamisi mchana (mchana wa kwanza), Ijumaa usiku (usiku wa pili), Ijumaa mchana (mchana wa pili), Jumamosi usiku (Usiku wa watatu), Jumamosi mchana (mchana wa tatu)."
Ki o sit un wo gbogbo igba ti Jesu fi ba Baba re soro.,Katika kila mahali ndani ya agano jipya Yesu alipozungumza na Mungu Baba alikuwa akizungumza na nafsi moja wapo ya Utatu – Baba.
"Ohun tí kò yé wọn ni wípé, ìyàtọ̀ wà láàrin níní ẹrú ní àsìkò Bíbélì àti èyí tí a rí ní ọ̀pọ̀lọpọ̀ agbègbè ní àgbáyé fún ọdún díẹ̀ sẹ́yìn.",Chenye wengi wanakosa kuelewa ni kuwa utumwa katika nyakati za Bibilia ulikuwa tofauti kutoka ule utumwa ulikuwa ukifanyika katika karne chache zilizopita katika sehemu nyingi za dunia.
Báwo ni a ò bá ṣe mọ̀ wípé àwọn ìwádí sáyẹ́nsì jẹ́ òtítọ́?,Mtu anawezaje kujua utafiti wa sayansi ni wa kweli?
"Isaiah 55;11 wipe, “beni, ra waini ati wara….. .”","Isaya 55;11 inapongeza “ naam, njoo ununue divai na maziwa…”"
"Bẹ́ẹ̀ni, àwọn nǹkan àjòjì àti tí a kò lè ṣe àlàyé pọ̀ tí ó ńṣẹlẹ̀.","Naam, kunayo mambo mengi ya ajabu na yasiyoelezeka ambayo yatokea."
"Ẹ̀yin ọmọ mi, ẹ máṣe jẹ́ kí ẹnikẹ́ni ki o tàn yín.","Mtu ye yote asiyetenda haki hatokani na Mungu, walaa yeye asiyempenda ndugu yake” (1 Yohana 3:7-10)."
"Àti àlàáfíà Ọlọ́run, tí ó ju ìmọ̀ràn gbogbo lọ, yóò sọ ọkàn àtì èrò yín nínú Kristi Jésù.""","Na amani ya Mungu, ipitayo akili zote, itawahifadhi mioyo yenu na nia zenu katika Kristo Yesu.”"
Sugbon nipa ohun ti Bibeli so.,Hili si swala la ubaguzi wa kijinsia ila la ufafanuzi wa maandiko ya Biblia.
"Nígbàtí Bíbélì kò bá tíì sọ̀rọ̀ nípa ohun kan, àwa ní ìlànà gbogbogbò nínú Ọ̀rọ̀ Rẹ̀ láti tọ́ wa.","Bibili haifuniki baadhi ya masomo mengine, tuko na misimamo ya kijumla katika neno lake kutuongoza."
"Lọ́gán tí ènìyàn bá gba Jésù Kristi gbọ́ ní tòótọ́, òun ti di ẹni ìgbàlà, ó sì ní ààbò nínú ìgbàlà náà.",Wakati mtu anapo mwamini Yesu Kristo huyo mtu ameokolewa na yuko salama katika wokovu.
"Mo ni ireti ninu Jesu, Jesu ni kan gege bi Olorun ni nikan ati olugbala mi.","kama ndiyo, tafadhali bonyeza kwa “Nime mkubali Kristo hivi leo” hapo chini."
A gbọ́dọ̀ fi ìyàtọ̀ hàn gedegbe láàrin bí Kristiẹni ṣe gbọ́dọ̀ gbé ìgbé ayé rẹ̀ àti ohun tí ènìyàn gbọ́dọ̀ ṣe láti le gba ìgbàlà.,Lazima tuweke tofauti jinzi Mkrosto  anavyostahili kuishi na inampasa nini ili aupokee wokovu.
"Bíbélì sọ fún wa wípé kí á kún fún ayọ̀ àti ìyìn (Fílíppi 4:4; Romu 15:11), nítorí náà Ọlọ́run fẹ́ kí a gbé ìgbé-ayé tí ó kún fún ayọ̀.","Bibilia inatuambia kuwa tujazwe na furaha na sifa (Wafilipi 4:4; Warumi 15:11), kwa hivyo hasa Mungu amenuia tuwe na maisha ya raha."
"Ṣùgbọ́n dájúdájú yóò jẹ́ ìṣòro nígbàtí a bá ńgbìyànjú láti dáhùn ìbéèrè bíi ""Níwọ̀n ìgbà tí gbogbo ìṣẹ̀dá bá ńjìyà, kínni èrèdí tí Ọlọ́run ní tí ó fi dá àwọn ìṣẹ̀dá tí kò dára àti tí kò jípépé láti jìyà ní pílánẹ́tìì tí ó jìnà?""","Lakini kwa kweli itathibitisha tatizo wakati tunajaribu kujibu maswali kama “kwa vile viumbe wote watezeka, Mungu alikuwa na lengo gani kwa kuwaumba viumbe wasio na madili na viumbe wasio na uai kutezeka katika sayari za mbali?”"
"Síbẹ̀ yóò jẹ́ ọ̀nà gidi láti fi ìmore hàn sí Ọlọ́run fún àánú Rẹ̀ bí kò ṣe gba ""èlé"" lọ́wọ́ àwọn ènìyàn Rẹ̀ fún ore-ọ̀fẹ́ tí Òun fi hàn sí wọn.",Vile vile hiyo itakuwa njia ya ushahidi ya kudhihirisha shukrani kwa Mungu kwa huruma zake ambazo halipishi watu wake kama “riba” kwa neema ambayo ameifikisha kwao.
"Ìmọ̀lára lè ṣìwá lọ́nà, ṣùgbọ́n Ọ̀rọ̀ Ọlọ́run dúró láíláí kò sì lè yípadà.","Hisia zinaweza kutuongoza kupotea, lakini Neno la Mungu linasimama imara na halibadiliki."
"Ọkùnrin náà gbàgbọ wípé Jésù ni ọmọ Ọlọ́run (""Olúwa"") àti Mesiah ẹnití ó mú ìwé mímọ́ ṣẹ (""Kristi"").",Die man het geglo dat Jesus die Seun van God (“Here”) was en die Messias deur wie die Skrifte vervul was (“Christus”).
"Iwo yio si ro wipe, iwo wa ninu iho ti o jin, iwo o si ro wipe ko si atunes fun ile aye re.",Waweza kujihisi kama umo ndani ya shimo refu na hakuna matarajio yoyote juu yakutoka kwako humo.
"Nígbà míìrán ìdarí ti Ọlọ́run lè wá nípasẹ Ẹ̀mí Mímọ́, nípasẹ àwọn ẹ̀rí ọkàn wa, nípasẹ àwọn ìṣẹ̀lẹ̀, àti nípasẹ àwọn ìgbani níyànjú àwọn ẹlòmíràn.","Mungu anaweza nena kwa sauti na watu, hasa hunena kupitia kwa neno lake na wakati mwingine kupitia kwa Roho Mtakatifu kwa akili yetu, kupitia kwa hali, na kupitia watu wengine."
3) A lè pa ayé mọ́ nípa ẹ̀kọ́ nǹkan nípa ìṣẹ̀dá àtí nípa kí a má ṣe pa nǹkan ìṣẹ̀dá run.,3) Tunaweza kulinda ulimwengu kupitia utunzaji wa mazingira.
"Kò sí ẹnìkan, yálà ṣáájú àgbélèbú tàbí láti ìgbà àgbélèbú, tí a ó le gbàlà láì sí ìṣẹ̀lẹ̀ gbòógì yẹn nínú ìtàn ayé.","Tangu kuanguka kwa mwanadamu,  mzingi wa wokovu umekua juu ya kifo cha Kristo, pengine kabla ya msalaba au tangu msalaba, hatunguweza kuokolewa kama si tukuo hilo la ubadilisho kataka historia ya ulimwengu."
"Efesu 2;8 so wipe, “ Nitori ore-ofe li a ti fi gba nyin la nipa igbagbo;  ati eyini ki ise ti enyin tikaranyin; ebun Olorun ni.”  Eni to je kristiani gidi ni enia ti o ti toro idariji ese ti o si fi igbagbo ati ireti re sinu Jesu Kristi nikan.",Waefeso 2:8 inatuambia ya kwamba “Kwa neema mmeokolewa kupitia imani wala si kwa ajili yenu wenyewe bali ni kipawa cha Mungu.” Mkristo wa kweli ni mtu aliyetubu dhambi zake na kuweka imani na tumaini lake ndani ya Yesu kristo pekee.
"Àwọn ipòruúru kọ̀ọ̀kan tí ó jẹyọ láti inú ẹsẹ̀ bíbélì bíi Orin Dáfídì 16:10-11 gẹ́gẹ́bí ìtumọ̀ inú ẹ̀ya King James: ""Nítorí ìwọ kì yíò fi ọkàn mi sílẹ̀ ní ipò-òkú; bẹ́ẹ̀ni ìwọ kì yíò jẹ́ kí Ẹni Mímọ́ kí o rí ìdibàjẹ́.","Wakati Yesu alilia msalabani, “Mungu wangu, Mungu wangu mbona umeniacha?” (Mathayo 27:46), ni wakati huo alitenganishwa na Baba kwa sababu ya dhambi zetu zilizotunikwa kwake."
"Kò ní sí ẹ̀ṣẹ̀, ìbànújẹ̀ tàbí ikú mọ́ (Ifihan 21-22).","Hakutakuwa na dhambi tena, husuni wala kifo (Ufunuo Wa Yohana 21-22)."
"Àwọn Kristiẹni kò gbọ́dọ̀ yọ̀ nígbà tí wọ́n bá lo ìjìyà ikú, ṣùgbọ́n nígbà kan náà, Kristiẹni kò gbọ́dọ̀ tako ẹ̀tọ̀ ìjọba láti pa àwọn olùṣe ọ̀pọ̀ iṣẹ́ ibi tó burú jù.","Wakristo waziwai furahia wakati hukumu ya kifo inatumika, lakini kwa wakati huo, Wakristo wasipige vita haki ya serikali inapowahukumia kifo waalifu wa dhambi mbaya sana."
"Ṣé ẹnìkan lè mu sìgá ""fún ògo Ọlọ́run"" l'ótìítọ́ (1 Kọrinti 10:31)?",Inawezwa semwa kuwa uvutaji ni kumheshimu Mungu na mwili wako (1 Wakorontho 6:20)?
"“On o si je idurosinsin akoko re, isura igbala, ogbon ati imo; iberu Oluwa ni yio je isura re” (Isaiah 33:6).","Njoo kwa Yesu, ili akuregeshee furaha na umuhimu wako huku ukimtumainia yeye kuanza kazi mpya maishani mwako."
"Olorun da Adamu ni akoko, o si da Efa tele geg bi “oluranlowo” fun Adamu.",Mungu alimuumba Adamu kwanza na Hawa baadaye ili awe msaidizi wa Adamu.
Ìdá máàrún dín ní ọgọ́rùn-ún (95) àwọn oyún ṣíṣẹ́ lóde òní ní íṣe pẹ̀lú àwọn obìnrin tí kò fẹ́ bímọ.,Zaidi ya asili mia 95 ya uavyaji mimba ambao wafanywa hii leo wahuzisha wanawake ambao hawataki kuwa na mtoto.
"Àwa lè rí láti àwọn ẹsẹ wọ̀nyìí wípé ó jẹ́ èròngbà Ọlọ́run tí ó ga jùlọ kí a darapọ̀ mọ́ Òun ní ilé ayérayé Rẹ̀, ọ̀run.","Tibitisho kuu la upendo wa Mungu limeelezwa kwetu sisi katika Yohana 3:16 “Kwa maana jinsi hii Mungu aliupenda ulimwengu, hata akamtoa Mwanawe pekee, ili  kila mtu amwaminiye asipotee, bali awe na uzima wa milele.” Warumi 5:8 yakiri ujumbe sawa na wa Yohana: “Bali Mungu aonyesha pendo lake yeye mwenyewe kwetu sisi, kwa kuwa Kristo alikufa kwa ajili yetu, tulipokuwa tungali wenye dhambi.” Tunaweza kuona kutoka aya hizi kuwa nia kuu ya Mungu ni tuwe pamoja naye katika mji wake wa milele, mbinguni."
"Bí olóògùn olóró ti ńgbọ́dọ̀ mu ọ̀pọ̀ ìwọ̀n ògùn náà tàbí ògùn tí ó l'ágbára síi láti lè dé ìpele ""gíga,"" bẹ́ẹ̀ni wíwo àwòrán ènìyàn ní ìhòhò ńsún ènìyàn wọnú àti sínú ìbálòpọ̀ líle àti ìfẹ́kùfẹ́ àìwàbíọlọ́run.",Kama vile mtumiaji wa vileo lazima ayachukue zaidi na zaidi na viwango vya juu vya madawa ili afikie upeo wa “juu” ponografia yamvuta mtu kwelekea ngono na kuwa mazoea na haja sizizo za kiungu.
"Tí ó bá ṣe pátákí gan-an ni, ọ̀rọ̀ Ọlọ́run ò bá ti sọ ọjọ́ àti ìgbà náà kedere.","Kama ilikuwa ya maana,hivyo ulimwengu wa  Mungu ungetangaza wasi wasi siku na kadirio la muda."
Gbogbo àwọn òtítọ́ yìí àtí àwọn míìrán jẹ́ àrídájú ìkún omi àgbáyé.,Hizi hoja zote na zingine nyingi ni thibitisho la kuwepo kwa gharika ya ulimwengu mzima.
Iwo gba eyi gbo (Johannu 11:25-26).,"Mimi ndimi mchungaji mwema; Ninajua kondoo wangu na kondoo wangu wananijua” (Yohana 10: 11,14)."
Igbe aye wa ni orile aye idanwo ni- imu ra sile fun ohun ti o nbo.,Maisha ya duniani ya sasa ni mtihani tu; ni matayarisho ya yale yajayo.
"Ẹni tí ó bá ti ní ìrírí ẹ̀bun Ọlọ́run nípa ìgbàlà àti òmìnira kúrò lọ́wọ́ ẹrú ẹ̀ṣẹ̀, gẹ́gẹ́ bíi Ọlọ́run ti ńtún ọkàn rẹ̀ ṣe, yóò ri wípé kò dára kí á kó àwọn ẹlòmíràn ní ẹrú.","Mtu ambaye amehisi kipaji cha Mungu cha wokovu na uhuru kutoka kwa utumwa wa dhambi, Mungu anapobadilisha nafsi yake, mtu huyo atagundua kwamba kumweka utumwa mwanadamu mwingine ni makosa."
Wọn a máa gbaniníyànjú nígbà ìpọ́njú (Iṣe àwọn Apọsteli 27:23-24).,Wanatia moyo wakati wa hatari/hali ngumu (Matendo Ya Mitume 27:23-24).
"Bẹ́ẹ̀ni, ìgbéraga, owú, abbl., jẹ́ àwọn ẹ̀ṣẹ̀ tí Bíbélì dá l'ẹ́bi; ṣùgbọ́n, a kọ́ wípè wọ́n ní ""àwọn ẹ̀ṣẹ̀ aṣekúpani méje"" nínú Bíbélì.","Ingawa hizi ni dhambi sizizo weza katawaliwa, hazijawai patiwa elezo la “dhambi saba mbaya sana” katika Bibilia."
"Níní ìbáṣepọ̀ pẹ̀lú Kristi nínú ikú Rẹ̀, àti àjíǹde nípasẹ̀ ìrìbọmi Ẹ̀mí ńfi ẹsẹ̀ ìpilẹ̀sẹ̀ fún ìyàsọ́tọ́ wa kúrò nínú agbára ẹ̀ṣẹ̀ tí ó ńgbé inú ẹni àti rírìn nínú ìgbé ayé ọ̀tun múlẹ̀ (Romu 6:1-10; Kolosse 2:12).",(Warumi 6:1-10; Wakolosai 2:12).
"Májẹ̀mú Titun ti rọ́pò Májẹ̀mú Láíláí nígbàtí a ti fi Kristì, Ọ̀dọ́ Àgùtàn Ìrékọjá (1 Kọrinti 5:7), rúbọ (Heberu 8:8-13).","Agano jipya linasimama badalay ya Agano La Kale wakati Kristo sadaka ya pasaka (1 Wakorintho 5:7), alisulubiwa (Waebrania 8:8-13)."
"Ohun tí ó ṣe kókó níbẹ̀ ni wípè, níní ẹrú tí Bíbélì fi ààyè gba jọ mọ́ níní ẹrú ẹ̀yà tí ó jẹ́ ìṣòro fún wa ní ọdún díẹ̀ sẹ́yìn.",Hoja kuu ni kuwa utumwa Bibilia iliruhusu kwa njia yo yote ile haufanani na ule utumwa wa rangi ambao ulipiga nchi yetu katika karne chache zilizopita.
Báwo ni ikú Jésù ṣe tó láti san gbogbo gbèsè ẹ̀ṣẹ̀ wa?,Kifo cha Yesu kingewezaje kulipa deni ya dhambi zetu kikamilifu?
Àwọn àyọkà méèjèjì wọ̀nyìí gbà wá níyànjú láti gbàdúrà kí á sì tẹ̀síwájú láti máa gbàdúrà.,Kurasa zote zinatutia moyo tuombe na tuendelee kuomba.
"Gẹ́gẹ́bí ìtàn Bíbélì nípa ètò ìràpadà Ọlọ́run fún ènìyàn ṣé ńjẹyọ, ọ̀pọ̀lọpọ̀ ìwa oríṣiríṣi la ṣe àpèjúwe rẹ̀ dáradára.","Kwa vile hadithi ya Bibilia ya mpango wa Mungu wa ukombozi kwa mwanadamu umefunuliwa, wahusika wengi wameelezewa."
"Wọ́n gbọ́dọ̀ ri wípé àwọn dúró nínú Ọ̀rọ̀ Ọlọ́run, kódà nígbà tí wọn kò fẹ́ láti ṣe bẹ́ẹ̀.","Lazima waakikishe kuwa wamedumu katika neno, hata wakati hawajihisi kufanya hiyvo."
"Nítorí ìfẹ́ Rẹ̀ fún wa (Johannu 3:16), Ọlọ́run gbe àwọ̀ ènìyàn wọ̀ Òun sì kú ní ipò wa, láti gba ìjìyà tí ó tọ́ sí wa (Romu 5:8; 2 Kọrinti 5:21).","Kwa sababu ya upendo wake kwetu (Yohana 3:16), Mungu aliuchukua umbo la mwanadamu na akafa kwa ajili yetu, huku akichukua adhabu ambayo tulistahili (Warumi 5:8; 2Wakorintho 5:21)."
Ǹjẹ́ ìwò wípé kò sí Ọlọ́run jẹ́ ipò òtítọ́ tí ó mú ọgbọ́n dání bí àwọn tí kò gbàgbọ́ wípé Ọlọ́run wà ṣe ńjẹ́wọ́?,Is ateïsme werklik die logiese stelling wat ateïste beweer dit is?
Ohunkóhun tí ó lè kà sí ere-àkọṣe ṣáájú ìbálòpọ̀ ní a gbọ́dọ̀ yẹra fún títí di ìgbéyàwó.,Kitu cho chote kinachochukuliwa kama mazoezi kabla ya ndoa lazima kiepukwe hadi ndoa.
Olorun ri gbogbo ohun esu o si binu si; a si ma n soro nipa ina pelu emi mimo re ninu iwe Bibeli.,"Ana nguvu na anatenda kila kinachompendeza bila kutoka nje ya hali zake timilifu (Ufunuo wa Yohana 19:6; Yeremia 32:17, 27)."
